title,Publish Time,Mission,Methods,Object,link
Early warning of coalescing neutron-star and neutron-star-black-hole binaries from the nonstationary noise background using neural networks,2021-9-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2021PhRvD.104f2004Y
The BACCO simulation project: a baryonification emulator with neural networks,2021-9-1,Simulation,NN:MLP,Cosmology,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.4070A
Primordial non-Gaussianity from the completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey - I: Catalogue preparation and systematic mitigation,2021-9-1,Data Processing,NN:MLP,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3439R
Predicting bulge to total luminosity ratio of galaxies using deep learning,2021-9-1,Prediction,CNN:Xception,Galaxies,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3313G
Inferring time-dependent distribution functions from kinematic snapshots,2021-9-1,Prediction,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3098D
Pushing automated morphological classifications to their limits with the Dark Energy Survey,2021-9-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1927V
An investigation of the causal relationship between sunspot groups and coronal mass ejections by determining source active regions,2021-9-1,Object Detection,LSTM,Solar,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1916R
Peculiar velocity estimation from kinetic SZ effect using deep neural networks,2021-9-1,Prediction-Regression,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1427W
Detecting pulsars with neural networks: a proof of concept,2021-9-1,Object Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1111K
DeepMerge - II. Building robust deep learning algorithms for merging galaxy identification across domains,2021-9-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506..677C
Morphological classification of galaxies with deep learning: comparing 3-way and 4-way CNNs,2021-9-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506..659C
Tracing H\ensuremath\alpha Fibrils through Bayesian Deep Learning,2021-9-1,Object Detection,Unet,Solar,https://ui.adsabs.harvard.edu/abs/2021ApJS..256...20J
Bayesian Nonparametric Inference of the Neutron Star Equation of State via a Neural Network,2021-9-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2021ApJ...919...11H
HOLISMOKES. VI. New galaxy-scale strong lens candidates from the HSC-SSP imaging survey,2021-9-1,Object Detection,CNN:ResNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2021A&A...653L...6C
MILCANN: A tSZ map for galaxy cluster detection assessed using a neural network,2021-9-1,Data Reconstruction,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2021A&A...653A.106H
"Chemulator: Fast, accurate thermochemistry for dynamical models through emulation",2021-9-1,Simulation,AE,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021A&A...653A..76H
Deep transfer learning for the classification of variable sources,2021-9-1,Object Classification,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2021A&A...653A..22K
Predicting the 25th solar cycle using deep learning methods based on sunspot area data,2021-8-1,Prediction,LSTM,Solar,https://ui.adsabs.harvard.edu/abs/2021RAA....21..184L
A method for pulsar searching: combining a two-dimensional autocorrelation profile map and a deep convolutional neural network,2021-8-1,Object Detection,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2021RAA....21..171W
A novel method for telescope polarization modeling based on an artificial neural network,2021-8-1,Prediction-Regression,NN:MLP,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021RAA....21..159P
Reconstructing patchy reionization with deep learning,2021-8-1,Data Reconstruction,CNN:ResUnet,Cosmology,https://ui.adsabs.harvard.edu/abs/2021PhRvD.104d3529G
A comparative study of convolutional neural networks for the detection of strong gravitational lensing,2021-8-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.6155M
The effect of phased recurrent units in the classification of multiple catalogues of astronomical light curves,2021-8-1,Object Classification,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.6069D
Artificial Neural Network classification of 4FGL sources,2021-8-1,Object Classification,NN:MLP,High Energy: Gamma Rays,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.5853G
Focal plane wavefront sensing using machine learning: performance of convolutional neural networks compared to fundamental limits,2021-8-1,Prediction,CNN:ResNet+Unet,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.5702O
Point spread function estimation for wide field small aperture telescopes with deep neural networks and calibration data,2021-8-1,Prediction,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4717J
Strong lens modelling: comparing and combining Bayesian neural networks and parametric profile fitting,2021-8-1,Prediction-Regression,CNN:BayesCNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4362P
Light-curve classification with recurrent neural networks for GOTO: dealing with imbalanced data,2021-8-1,Object Classification,RNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4345B
Deep learning approach for identification of H II regions during reionization in 21-cm observations,2021-8-1,Image Segmentation,Unet,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.3982B
On planetary systems as ordered sequences,2021-8-1,Object Classification,NN:MLP,Planet,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.2224S
Magnetic activity and age estimation of red giants using neural networks,2021-8-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.2124L
A Deep-learning Approach for Live Anomaly Detection of Extragalactic Transients,2021-8-1,Anomaly Detection,VAE,Transient,https://ui.adsabs.harvard.edu/abs/2021ApJS..255...24V
Analyzing the Galactic Pulsar Distribution with Machine Learning,2021-8-1,Prediction-Regression,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2021ApJ...916..100R
SCONE: Supernova Classification with a Convolutional Neural Network,2021-8-1,Object Classification,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2021AJ....162...67Q
A deep learning method to estimate magnetic fields in solar active regions from photospheric continuum images,2021-8-1,Prediction,CNN:ResNet,Solar,https://ui.adsabs.harvard.edu/abs/2021A&A...652A.143B
Performance of solar far-side active region neural detection,2021-8-1,Object Detection,Unet,Solar,https://ui.adsabs.harvard.edu/abs/2021A&A...652A.132B
Finding flares in Kepler and TESS data with recurrent deep neural networks,2021-8-1,Object Detection,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2021A&A...652A.107V
Exploring the Sun's upper atmosphere with neural networks: Reversed patterns and the hot wall effect,2021-8-1,Object Detection,NN:MLP,Solar,https://ui.adsabs.harvard.edu/abs/2021A&A...652A..78S
Catalog-free modeling of galaxy types in deep images. Massive dimensional reduction with neural networks,2021-8-1,Prediction,CNN:InceptionNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2021A&A...652A..62L
Multi-channel coronal hole detection with convolutional neural networks,2021-8-1,Object Detection,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2021A&A...652A..13J
Morphological classification of compact and extended radio galaxies using convolutional neural networks and data augmentation techniques,2021-7-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.1464M
